Name	MolecularFormula	MolecularWeight	ExactMass	HeavyAtoms	Rings	AromaticRings	MolecularVolume	RotatableBonds	HydrogenBondDonors	HydrogenBondAcceptors	SLogP	SMR	TPSA	Fsp3Carbons	Sp3Carbons	MolecularComplexity
Elinogrel	C20H15ClFN5O5S2	523.95	523.0187	34	4	4	389.73	6	4	10	5.81	128.53	142.16	0.05	1	86
Rolapitant	C25H26F6N2O2	500.48	500.1898	35	4	2	427.34	7	2	4	6.59	117.77	50.36	0.48	12	67
Tozasertib	C23H28N8OS	464.59	464.2107	33	5	3	403.50	7	3	9	4.49	132.16	102.07	0.39	9	79
Coleneuramide	C39H68N2O8	692.97	692.4976	49	5	0	708.50	12	6	10	6.59	191.02	159.65	0.95	37	66
Esomeprazole	C17H19N3O3S	345.42	345.1147	24	3	3	292.28	5	1	6	3.61	93.09	77.10	0.29	5	74
Ertapenem	C22H25N3O7S	475.51	475.1413	33	4	1	420.74	7	5	10	2.37	121.99	156.27	0.45	10	70
Reboxetine	C19H23NO3	313.39	313.1678	23	3	2	299.91	6	1	4	4.62	92.50	41.79	0.37	7	57
Vernakalant	C20H31NO4	349.46	349.2253	25	3	1	344.82	7	1	5	4.35	100.45	51.16	0.70	14	58
Solabegron	C23H23ClN2O3	410.89	410.1397	29	3	3	373.86	9	4	5	5.29	118.08	81.59	0.17	4	54
Rotigaptide	C28H39N7O9	617.65	617.2809	44	3	1	574.69	12	7	16	-0.81	157.61	240.57	0.54	15	61
Methynodiol_diacetate	C25H34O4	398.54	398.2457	29	4	0	413.58	4	0	4	5.24	111.54	52.60	0.76	19	38
Phytic_acid	C6H18O24P6	660.04	659.8614	36	1	0	429.94	12	12	24	0.63	102.93	400.56	1.00	6	28
Lubiprostone	C20H32F2O5	390.46	390.2218	27	2	0	380.65	11	2	5	5.17	97.01	85.90	0.90	18	45
Fluperolone_acetate	C24H31FO6	434.50	434.2105	31	4	0	419.93	4	2	6	3.75	111.59	100.90	0.71	17	48
Oxytetracycline	C22H24N2O9	460.43	460.1482	33	4	1	408.81	2	7	11	-0.38	112.47	201.85	0.41	9	60
Suloctidil	C20H35NOS	337.56	337.2439	23	1	1	361.68	12	2	2	6.42	104.75	32.26	0.70	14	50
Hetacillin	C19H23N3O4S	389.47	389.1409	27	4	1	347.75	3	2	7	2.84	103.32	89.95	0.53	10	64
Levopropoxyphene	C22H29NO2	339.47	339.2198	25	2	2	352.74	9	0	3	4.56	102.86	29.54	0.41	9	49
Quinidine	C20H24N2O2	324.42	324.1838	24	5	2	303.26	4	1	4	4.03	96.52	45.59	0.45	9	59
Levomethadyl_acetate	C23H31NO2	353.50	353.2355	26	2	2	370.04	9	0	3	5.23	108.30	29.54	0.43	10	48
Talampicillin	C24H23N3O6S	481.52	481.1308	34	5	2	418.01	6	2	9	2.79	124.13	130.10	0.33	8	62
Fusidic_acid	C31H48O6	516.71	516.3451	37	4	0	537.60	6	3	6	6.53	144.09	104.06	0.81	25	42
Metoserpate	C24H32N2O5	428.52	428.2311	31	5	1	403.81	5	1	7	4.19	119.34	69.26	0.62	15	67
Epitetracycline	C22H24N2O8	444.43	444.1533	32	4	1	400.02	2	6	10	0.36	110.56	181.62	0.41	9	64
Quinidine	C20H24N2O2	324.42	324.1838	24	5	2	303.26	4	1	4	4.03	96.52	45.59	0.45	9	59
Boceprevir	C27H45N5O5	519.68	519.3421	37	3	0	524.33	12	4	10	3.14	141.55	150.70	0.81	22	62
Amrubicin	C25H25NO9	483.47	483.1529	35	5	2	423.81	3	5	10	2.06	121.73	178.68	0.40	10	62
Clentiazem	C22H25ClN2O4S	448.96	448.1224	30	3	2	400.04	7	0	6	4.88	121.00	59.08	0.36	8	73
Quinidine	C20H24N2O2	324.42	324.1838	24	5	2	303.26	4	1	4	4.03	96.52	45.59	0.45	9	60
