Name	MolecularFormula	MolecularWeight	ExactMass	HeavyAtoms	Rings	AromaticRings	MolecularVolume	RotatableBonds	HydrogenBondDonors	HydrogenBondAcceptors	SLogP	SMR	TPSA	Fsp3Carbons	Sp3Carbons	MolecularComplexity
Naloxone	C19H21NO4	327.37	327.1471	24	5	1	297.52	2	2	5	2.73	89.79	72.07	0.53	10	59
Deprodone_propionate	C24H32O5	400.51	400.2250	29	4	0	405.07	4	1	5	4.12	108.82	80.67	0.71	17	43
Idarubicin	C26H27NO9	497.49	497.1686	36	5	1	452.01	3	5	10	2.85	129.27	178.68	0.42	11	59
Cefaloridine	C19H17N3O4S2	415.49	415.0660	28	4	2	347.44	6	1	7	1.18	106.05	93.42	0.26	5	63
Atovaquone	C22H19ClO3	366.84	366.1023	26	4	2	335.74	2	1	3	5.51	100.91	54.37	0.27	6	40
Cinanserin	C20H24N2OS	340.48	340.1609	24	2	2	336.22	8	1	3	4.95	105.42	32.34	0.25	5	55
Cepharanthine	C37H38N2O6	606.71	606.2730	45	9	4	545.44	2	0	8	7.44	171.68	70.14	0.35	13	61
Rescimetol	C33H38N2O8	590.66	590.2628	43	6	2	549.42	9	2	10	5.52	162.12	115.79	0.45	15	68
Scopolamine	C17H21NO4	303.35	303.1471	22	4	1	277.92	5	1	5	2.63	82.43	62.30	0.59	10	61
Ampicillin	C16H19N3O4S	349.40	349.1096	24	3	1	308.21	4	3	7	1.46	91.08	112.73	0.44	7	59
Adenosine_triphosphate	C10H16N5O13P3	507.18	506.9957	31	3	2	340.88	8	7	18	0.20	96.95	281.20	0.50	5	76
Levopropoxyphene	C22H29NO2	339.47	339.2198	25	2	2	352.74	9	0	3	4.56	102.86	29.54	0.41	9	49
Droloxifene	C26H29NO2	387.51	387.2198	29	3	3	390.76	8	1	3	6.27	122.23	32.70	0.23	6	50
Estradiol_enanthate	C25H36O3	384.55	384.2664	28	4	1	396.53	7	1	3	6.42	111.87	46.53	0.72	18	43
Gemifloxacin	C18H20FN5O4	389.38	389.1499	28	4	2	326.47	5	2	9	2.72	101.97	123.04	0.44	8	88
Pravastatin	C23H36O7	424.53	424.2461	30	2	0	432.71	11	4	7	3.59	113.49	124.29	0.74	17	44
Neomycin	C12H26N4O6	322.36	322.1852	22	2	0	288.18	3	8	10	-1.97	80.77	205.53	1.00	12	46
Betamethasone_acetate	C24H31FO6	434.50	434.2105	31	4	0	419.93	4	2	6	3.61	111.52	100.90	0.71	17	51
Dutasteride	C27H30F6N2O2	528.53	528.2211	37	5	1	463.12	4	2	4	6.86	124.53	58.20	0.63	17	59
Nabilone	C24H36O3	372.54	372.2664	27	3	1	391.59	6	1	3	6.55	110.20	48.60	0.71	17	47
Rosuvastatin	C22H28FN3O6S	481.54	481.1683	33	2	2	431.84	9	3	9	4.06	123.75	140.92	0.41	9	84
Natamycin	C33H47NO13	665.73	665.3047	47	4	0	636.81	3	7	14	3.84	171.82	237.20	0.64	21	56
Testosterone_ketolaurate	C31H48O4	484.71	484.3553	35	4	0	520.02	12	0	4	7.82	139.34	60.44	0.84	26	39
Epristeride	C25H37NO3	399.57	399.2773	29	4	0	418.43	3	2	4	5.39	114.70	66.40	0.76	19	50
Tretoquinol	C19H23NO5	345.39	345.1576	25	3	2	317.49	5	3	6	2.84	94.51	80.18	0.37	7	57
Sucralose	C12H19Cl3O8	397.63	396.0146	23	2	0	307.39	5	5	8	1.78	85.62	132.98	1.00	12	37
Flupenthixol	C23H25F3N2OS	434.52	434.1640	30	4	2	384.25	6	1	3	6.60	117.10	26.71	0.39	9	56
Methacycline	C22H22N2O8	442.42	442.1376	32	4	1	397.38	2	6	10	0.42	111.93	181.62	0.32	7	59
Alpha-tocopherol_acetate	C31H52O3	472.74	472.3916	34	2	1	525.05	14	0	3	9.35	144.55	37.60	0.77	24	43
Levoxadrol	C22H27NO2	337.46	337.2042	25	4	2	330.66	3	1	3	5.37	101.37	34.63	0.45	10	57
