"CompoundID","PathLengthFingerprints"
"Elinogrel","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1010100010010100000100101010001110000001001100000100000100000100001001011001000001000001100000001010100000100111000000011010000010000001000001010000101010100100010000000001110011110001001000000001000010000000001000000011000010000100001010000000011001100001110000000100001000000000000000000000000100001101010001000011011101101000100100001011000010000000000000100011000000001100000001000000001100000000001000101100001000100000001100000010000000000000010110100000000000010000000000010100000000010000000010011000000000100001000000000011000110010100010100100111110001010000000010100000000000000100001000000010001000001101110000000001000000100001000000100000100000000110000111000011100000000001010110000010000011000001000000100001000001100100100100000000000101000001010011001001000000100000000000010100100000001000000101001001000000100000000000001010000100010110000000010001001010011100001000001100001000010001101001100000000001000010100011000100001011000000000100000010000000110000100110100000000000100111000010000100011010000011"
"Rolapitant","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100001000000100000000100100101010010010000000011001001101000000011000001110000000001000001101000000000010010000000010000001000110001001000110000001100000000011000000000000000010000010000000101000001010000101000000000011000000000000010000000000000000000010000001000100000010000000101010100010000100001100000100001000000010000000000000010001000110010010000000010001000110000100000000000000100001000101000000000000101010101000100100000111000010000000000010000000000000000000011000001011000000000100000000010000000001100000011000010000010000001001000000100100000010101000011000001010010000000000000000000010000000000000011000100001000000010000000010000010000000000100100001001001001000001010010000000001100000001000010010000000000000000101000000011000000000101000000010000110000000110000000000000001100000000000000000000100000000001010100000000001111010010000000100000101010010001000000000000000000000000000001000000000001010000010010000000000001000000101000100000000011000000000000000000000000001000010111100000000000000000011"
"Tozasertib","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0001001000000000010010100010000110001000000100001000001100010000000010000100010000001000001000000000110000000010001000000000001010001011101001010000100010100010010000000100000000110000101000010100100000100000100000000011000000000000100010000000110100100000010001000100110001000001000000100000000100011000010110000000000001000000100000000001100110010000000000000111010001010100000000000000000110010000000110001000000000100000001000000110100000000010010100111000000000000000101000010001000100110000000000011000001100100000001000001010100010000000100000100000100010101000000000100001000000000100000000000011001001001001000110000001000100100010001000000011000000101110000100101000000000000100000110000110001011100000000100000000001011000101100000001000000001100000000000000000100000110000000000010100000000010000000000000110000000001000000001000000000000010000000001010111000010000100000010000000100010001001001010000001001001000101100010100101101001000000100110000000010100010000000110000001000001101110000001100001000100000100"
"Coleneuramide","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000000000000000100001000010010000000000101001001000000000100001000000010000100001001000000000010000000000100000000000010001001000110000000100000000011000000000010000000000000000000001000000010000000000010000001000000000000100000000000000010000010010001001100000010000000001010100000010000001100000010010000000000000000000000000000000100010010010000000001000100000000000000001000000000000100000000000000000100101000000000000110000000000000000011100000010010100000000000000000000000000000000010000000000001100100100000010001000001000100000000000100000010000000001000010000010000000000000000000110000000000000000000000001000000100000000001000000001000000000000000001000000000001010010000000100000000001000011010010000010000000111000000010000000000001000010000000011001000100000000000000000010000001001000000000100001000001000000000000100000001010000100101010000010011101000000010000001000000000010000000100000001100000010010000000000001000000001000000000000001000000001000010000000000000000010000000000000000000010010"
"Esomeprazole","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000100010100100100000000000110100000000000000000000000100000100010000100000010000100000000000000110000000000000000000000000000000000010110010000000000001000100000000101000000100000001000011000000100010000000100000000010000010000000000000000000000100010000000001000000100000000000001000000101000000000000100000000100000000000000000010001100000010110010011100000010000000000100000000001000001000000010111010000000000010000010000000000100000001000110100000001000010000000110100010101000000000100000000000010000000000100000100000010000100100110000011000000010100100000000100000000000000000101000100010001000110000000010000001100101101000000010100100000101101000000000100010100010000010000010000000001000000000001001000110101000000000000001100100000000000001000000010100000100000100001101100000100000011010000000100000000000000001000010100000001000000011000001000000001000000100000000001000011000000000000000000001100010000101010001100001000100001001010000000001000100001000000100000110000000001000010000000000"
"Ertapenem","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1001001000011000000010100100001100010010000100010000001001001000000000000110000000101010001000000100010010000001100111001000000010011001000100001101100000000011001000000101000000110000000010111101000100100100000101110011001111111000000011000000000111000110000001010110010001000000101001100010001010000000000110010110010011000000100000011011110001010010001000000011000101000110000100000001010000010000001000010100000100110000001010100111010000000000000010010000000011100000001000001000110000000110000000100000101000100000010011110010001000001000100000110100100001000101001000000100000001000100000010000010000100001000100100100001000010100000010010110000000000000110100100001000000100001010110011001010101000110000010000001010000100010111100111111101000000101001000000000000000000100000001100010000000000100000000000000000000010011010000010000000100000011000100100010111000010001100011000000010100001010110001010100000001100000111110000000001100010001010101101001010001000000001000010000000100001100111011000011000000101000001"
"Reboxetine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1000000000000100000000000010011000000000000000010000001001000000000000000010000010000000001010000000000010000000000110000000000000001000000000000000000000000001000000000000000010000000100000100100010000000111000000000011000000000000000000100010110000000010000001000100000010000000001011000000000000000100000000000000000000000000000000000100000000000000101000000000000000000000000000000000100001000001000000001000100010100000000100000100000001001000000010000000010100100000001000000001100000000000000000010000000001000000100000000000000000001000000100100100000010001100001000000000010000000000000000000010000000000010010000100001011100000000000000001000000000000100100001111000000000011010010000000000010000000000000110000000000000000100101000000000000000100000000010000010000000110000000100010010100000000000000000000000000000001010000000000011100000000000000001000001010000001010000000000010000000001010001000000000010000000010010000000000001000000001000100000000000000000001000000001000001001000010001100000011000100000011"
"Vernakalant","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1000000000000100000000000010001000010010000000010000001001000000000000001010000000000000001001000000000010000000000010000000000000001001000110000000100000000001000000000000000000000000100000101000010000000001000000000011000000000000000000000010000000000010000001000100000000000000001010000000000000010100100000010000000000000000000000000000000000010010101000000000000000010000001000000000110000000001000000000000101010101000000100000100000010000000000010000000000100000000001000000001000000000000000001010000000001100000000000010000000000000000000000100100000010001000000000010000000000000000000010000010010000000010000000100001000000000000000000000000000000000100000001101001000000001010010000000000000000001000010010010000000000000100100000000000000000100000000000000010000100110000000100010000010000000001000000000100000100001010000000000000100000010000000101000001010000001000000000000000000000001010001000000000000000000011110000000000000000000000100100000000001000000001000000000000000000000010000100000010000000000010"
"Solabegron","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0001001000000000000001001000000000000000000100011000001001000000000000000100010000001000010000000000000010000000100101010000000010001000000000000000000000000010000000000000010000100000000000010001000000000100000000000011000010000000010010000000000101000000000001000110000011010000000000000000000000000000000110000000000001000000100000000001100000010000000000000010000000000100000100000000000000000000000000100000100000100000000000000000100000000000000100000100000000100000011000000001000000000000000000010000001000000000000000000010000000001000000000110000000000001100000000000000001000000000000000000110000000000000000000100001000010000000000000000000000001010100000000011000000001001010010010000000100000100000000000000000000000000100000000100000000000101010001010000000000000110000000100010000000000000010010000000000000100001010100000000000110010010000000000010001000000001100000000000000100000000100001010000000010000000101000000000000000000000100000100000000010000000000000010000000001000000010001100001000101001000001"
"Rotigaptide","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000001110011000010000000000011000001001000000000000000100010000001000001000000000000010000000000110000001000010001000000100000000100000000111000000000001000010000000100000000000000000000000000000000011001100000000000000000000100000000000000001000100000010000000001000100000000000001000000110000000000000000000000000000000000000010010001000000010000100000100001000000010000000000000000000000000101100100000000000000110000001000000000010000100000100101000011000000001000000000000000000010000000100100100001000000000000001000000000000100000000000100000001100000000010000000000000000000010000000001000000000100001000000000000010000000000001000010100001000001000000000001010010000000000000001011000010100001000000000000101000000010000000000101010001010000000000100110000000100000000000000000000000000000000000000001010000000000001100010010000000000001001000010001000000010000000000000000010001000000000011000000001110000000000000000000000000100000000001000000001000000000000000001000110000100000000000001000000"
"Methynodiol_diacetate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100000000001000000100000001000000010000000000000000000000000000000000000000000000000001000000000000010000000000010000000000010001001000010000000100000000011000000000000000000010000000000001000000000000000001000000000000000100010000001000010000001000000000000000100000000000000001010000000000000000000000000010000000000000000000000000010000000010100000000000000000001000000001000000000000000010000000000000100000000001000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000100000000000100000010000100000000000100000000000000001000000000000100000000001000000000001000000000000000000000000000000010000000001011001000000010000000000000000000001000100000000000000000000100000001001000000100000000000000000000000000000001000000100000000010000000001000000100000010000000000000000000000000000000100100000010010000000000000000000000000000000000000001000000000100000000000000000000001000000001000000000000000000010000000000000000000000000000000000001000000000000010"
"Phytic_acid","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000000100010000000110000000000000000000000000000000100000000000000000001000000000000010000000000000000000000010001001000000000000100000000001000000000000000000000001000000001000000000000000000000000000000100000000100000000000000000000000000010000110000000000000000000000000000100000000010000000000000000001000000000000000010000011000010000000001000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000010000010000000000000000000000000000000000000000100000000000000000000000000001000000000000000000100000000000010000000000000000000000000000000010000000000010000000010000000000010000001000000001000000000000000000000000001000000000000010000000000100000000000100000100000000000000000101000000000000000000000000000000100001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000001000100000000000000000000000000000000010001000000000000000000000"
