cano_smiles,gene_name,stand_value
Brc1ccc2NC(=O)\C(=C\3/SC(=S)NC3=O)\c2c1,PTK6,5.6
C1C[C@H](CN1)Oc2cncc(\C=C\c3ccncc3)c2,PTK6,5.6
CC(C)OC1=NNC(=O)/C/1=C/c2c[nH]c3ccccc23,PTK6,5.6
CCOC(=O)C1=C2S\C(=C\c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N,PTK6,5.6
CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,PTK6,5.6
CN(C)CC(=O)N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,PTK6,5.6
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,PTK6,5.6
CN1C(=NC(=C(C1=O)c2cccc(C)c2)c3ccncc3)NC[C@@H](N)Cc4ccccc4,PTK6,5.6
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2,PTK6,5.9
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4OCOc4c3,PTK6,6.9
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,PTK6,6.4
COc1cc(\C=C(/C#N)\c2nc3cc(C)ccc3[nH]2)c(Br)cc1O,PTK6,5.6
COc1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)c(Br)cc1O,PTK6,5.6
COc1cc(\C=C/2\SC(=S)NC2=O)ccc1O,PTK6,5.6
COc1cc(\C=C\2/SC(=O)NC2=O)ccc1O,PTK6,5.6
COc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)ccc1O,PTK6,5.6
COc1ccc(\C=C/2\C(=O)ON=C2c3ccc(Br)cc3)cc1OC,PTK6,5.6
COc1ccc(\C=C/2\S\C(=N\c3ccccc3)\NC2=O)cc1O,PTK6,5.6
COc1cccc(\C=C/2\S\C(=N/c3ccccc3)\NC2=O)c1,PTK6,5.6
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncn3,PTK6,5.6
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2NCCCN)c3ccncc3,PTK6,5.6
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2OC)c3ccncc3F,PTK6,5.6
COc1cccc(c1)[C@@H](C)NC(=O)c2cnc(s2)c3ccncc3,PTK6,5.6
COc1cccc(c1)[C@H](C)NC(=O)c2ccc(c(C)c2)c3ccncc3,PTK6,5.6
CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,PTK6,5.6
C[C@@H](NC1=C(N(C(=O)C)c2ccncc2)C(=O)C1=O)C(C)(C)C,PTK6,5.6
C[C@@H](NC1=C(Nc2ccnc(Nc3cccc(C)c3)n2)C(=O)C1=O)C(C)(C)C,PTK6,5.6
C[C@@H](NC1=C(Nc2ccncc2)C(=O)C1=O)C(C)(C)C,PTK6,5.6
C[C@@H](Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5,PTK6,5.6
C[C@H](Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5,PTK6,5.6
C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4,PTK6,6.5
C[C@H]1CNCCCN1S(=O)(=O)c2cccc3cncc(C)c23,PTK6,5.6
Cc1[nH]c(\C=C\2/C(=O)Nc3ccccc23)c(C)c1CCC(=O)O,PTK6,5.6
Cc1c(O)ccc2\C(=N/NC(=O)Cc3cccc4ccccc34)\CCCc12,PTK6,5.6
Cc1c(c2cccc(OCc3ccccc3)c2)c4c(N)ncnc4n1[C@@H]5C[C@@H](CN6CCCC6)C5,PTK6,6.2
Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1,PTK6,5.6
Cc1cc(OC[C@@H]2CC[C@@H](C2)C(=O)O)c(NC(=O)Nc3cnc(cn3)C#N)cc1Cl,PTK6,5.6
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCOCC5,PTK6,5.8
Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)cnc2C(=O)N)c1,PTK6,5.7
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3,PTK6,5.6
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(Cl)c(Cl)c4)c3,PTK6,5.6
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(Cl)c4)c3,PTK6,5.6
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(OC(F)(F)F)c4)c3,PTK6,5.6
Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1,PTK6,5.6
Cn1cc(C(CN)c2cncc(\C=C\c3ccncc3)c2)c4ccccc14,PTK6,5.6
Fc1ccc2ncn(c3ncc4NC(=O)N([C@@H]5CCOc6c(F)cccc56)c4n3)c2c1,PTK6,5.6
NCCOc1cncc(\C=C\c2ccncc2)c1,PTK6,5.6
NC[C@@H](NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,PTK6,5.6
NC[C@@H](O)[C@@H](O)Cn1cc(I)c2c(N)ncnc12,PTK6,5.6
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc3cncc(\C=C\c4ccncc4)c3,PTK6,5.6
N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34,PTK6,5.6
N[C@H](COc1cncc(c1)c2ccc(N)c(c2)C(=O)c3cccc(Cl)c3)Cc4c[nH]c5ccccc45,PTK6,5.6
N[C@H](COc1cncc(c1)c2ccc(N)c(c2)C(=O)c3ccccc3)Cc4c[nH]c5ccccc45,PTK6,5.6
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(=Cc4occc4)c3c2)Cc5c[nH]c6ccccc56,PTK6,5.6
N[C@H](COc1cncc(c1)c2ccc3NC(=O)Cc3c2)Cc4c[nH]c5ccccc45,PTK6,5.6
N[C@H](COc1cncc(c1)c2ccc3NC(=O)Oc3c2)Cc4c[nH]c5ccccc45,PTK6,5.6
Nc1ncc(\C=C\C(=O)NCCCn2ccnc2)c3scc(c4ccc(Br)cc4)c13,PTK6,7.8
Nc1ncnc2c1c(I)nn2[C@@H]3CC[C@H](O)CC3,PTK6,5.6
Nc1ncnc2c1c(I)nn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,PTK6,5.6
Nc1nonc1n2nnc(C(=O)N\N=C\c3cccs3)c2c4ccccc4,PTK6,5.6
Nc1nonc1n2nnc(C(=O)N\N=C\c3cccs3)c2c4cccs4,PTK6,5.6
O=C(Nc1cc2C(=O)NN=Cc3c[nH]c(c1)c23)[C@@H]4C[C@H]4c5ccccc5,PTK6,6.3
O=C1NCCc2[nH]c(cc12)c3ccnc(\C=C\c4ccccc4)c3,PTK6,5.6
OC(COc1cncc(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34,PTK6,5.6
OC[C@@H](NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,PTK6,5.6
OC[C@H](Cc1ccccc1)NC(=O)c2ccc(cc2)c3ccncc3,PTK6,5.6
OC[C@H](Cc1ccccc1)NC(=O)c2ccc(cc2F)c3ccncc3,PTK6,5.6
O[C@@H]1CCCN(C1)C(=O)c2cc(on2)c3ccc4[nH]ncc4c3,PTK6,5.6
Oc1ccc(\C=N\NC(=O)Nc2cccc3nsnc23)c(O)c1,PTK6,5.6
